<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05/03/19,00:00:00,39811.0000000,40100.0000000,39601.0000000,39860.0000000,4631
06/03/19,00:00:00,39830.0000000,40488.0000000,39566.0000000,40275.0000000,7077
07/03/19,00:00:00,40300.0000000,40376.0000000,39984.0000000,40204.0000000,5092
11/03/19,00:00:00,40898.0000000,40912.0000000,40734.0000000,40912.0000000,25
12/03/19,00:00:00,40900.0000000,40900.0000000,40394.0000000,40666.0000000,490
13/03/19,00:00:00,40699.0000000,40850.0000000,40465.0000000,40850.0000000,141
14/03/19,00:00:00,40949.0000000,42547.0000000,40700.0000000,40781.0000000,319
15/03/19,00:00:00,40624.0000000,41078.0000000,40566.0000000,40573.0000000,1011
18/03/19,00:00:00,40605.0000000,40799.0000000,40470.0000000,40717.0000000,832
19/03/19,00:00:00,40717.0000000,40786.0000000,40499.0000000,40643.0000000,2410
20/03/19,00:00:00,40656.0000000,41720.0000000,40505.0000000,41603.0000000,6495
21/03/19,00:00:00,41555.0000000,41803.0000000,41370.0000000,41675.0000000,6407
22/03/19,00:00:00,41691.0000000,41842.0000000,39307.0000000,41238.0000000,9101
25/03/19,00:00:00,41163.0000000,41285.0000000,40777.0000000,41082.0000000,6821
26/03/19,00:00:00,41045.0000000,41732.0000000,40945.0000000,41222.0000000,4494
27/03/19,00:00:00,41259.0000000,41511.0000000,40989.0000000,41323.0000000,4052
28/03/19,00:00:00,41252.0000000,41644.0000000,41167.0000000,41508.0000000,2990
29/03/19,00:00:00,41526.0000000,42060.0000000,41291.0000000,41835.0000000,4836
01/04/19,00:00:00,41947.0000000,42809.0000000,41914.0000000,42657.0000000,6290
02/04/19,00:00:00,42704.0000000,43000.0000000,42346.0000000,42604.0000000,4516
03/04/19,00:00:00,42625.0000000,42827.0000000,42403.0000000,42481.0000000,4256
04/04/19,00:00:00,42476.0000000,43096.0000000,42350.0000000,42970.0000000,4753
05/04/19,00:00:00,42970.0000000,43230.0000000,42733.0000000,42841.0000000,3868
08/04/19,00:00:00,42948.0000000,43160.0000000,42476.0000000,42721.0000000,5270
09/04/19,00:00:00,42708.0000000,43004.0000000,41955.0000000,42049.0000000,9814
10/04/19,00:00:00,42200.0000000,43394.0000000,41982.0000000,43181.0000000,7175
11/04/19,00:00:00,43151.0000000,44221.0000000,43002.0000000,43755.0000000,11108
12/04/19,00:00:00,43725.0000000,44315.0000000,43565.0000000,43749.0000000,7852
15/04/19,00:00:00,43668.0000000,44073.0000000,43250.0000000,43540.0000000,5897
16/04/19,00:00:00,43590.0000000,44052.0000000,42671.0000000,43466.0000000,13004
17/04/19,00:00:00,43440.0000000,43757.0000000,43151.0000000,43234.0000000,3819
18/04/19,00:00:00,43150.0000000,43370.0000000,42870.0000000,43110.0000000,3574
19/04/19,00:00:00,43171.0000000,43247.0000000,42677.0000000,42745.0000000,3901
22/04/19,00:00:00,42754.0000000,43680.0000000,42754.0000000,43558.0000000,4597
23/04/19,00:00:00,43600.0000000,44600.0000000,43310.0000000,43702.0000000,10061
24/04/19,00:00:00,43702.0000000,43774.0000000,43001.0000000,43577.0000000,4573
25/04/19,00:00:00,43604.0000000,43650.0000000,42843.0000000,42994.0000000,5211
26/04/19,00:00:00,43052.0000000,43052.0000000,42322.0000000,43027.0000000,6396
29/04/19,00:00:00,43071.0000000,43197.0000000,42405.0000000,42869.0000000,2358
30/04/19,00:00:00,42752.0000000,42873.0000000,42155.0000000,42317.0000000,3289
02/05/19,00:00:00,42200.0000000,42235.0000000,41627.0000000,41881.0000000,3336
03/05/19,00:00:00,41980.0000000,42180.0000000,41602.0000000,41870.0000000,2267
06/05/19,00:00:00,41822.0000000,42090.0000000,41227.0000000,41934.0000000,2861
07/05/19,00:00:00,41984.0000000,42112.0000000,41118.0000000,41493.0000000,4158
08/05/19,00:00:00,41525.0000000,41755.0000000,41217.0000000,41499.0000000,2946
10/05/19,00:00:00,41406.0000000,41698.0000000,40747.0000000,40987.0000000,3798
13/05/19,00:00:00,40921.0000000,41686.0000000,40786.0000000,41319.0000000,7389
14/05/19,00:00:00,41399.0000000,41637.0000000,41303.0000000,41389.0000000,4327
15/05/19,00:00:00,41546.0000000,41546.0000000,40648.0000000,40814.0000000,6660
16/05/19,00:00:00,40808.0000000,40876.0000000,40400.0000000,40475.0000000,4535
17/05/19,00:00:00,40476.0000000,40860.0000000,40370.0000000,40623.0000000,3365
20/05/19,00:00:00,40711.0000000,40850.0000000,40100.0000000,40159.0000000,3920
21/05/19,00:00:00,40165.0000000,41297.0000000,40087.0000000,41033.0000000,4702
22/05/19,00:00:00,40975.0000000,41290.0000000,40620.0000000,40851.0000000,6891
23/05/19,00:00:00,40790.0000000,41285.0000000,40467.0000000,41076.0000000,7192
24/05/19,00:00:00,41076.0000000,42011.0000000,40985.0000000,41710.0000000,5428
27/05/19,00:00:00,41571.0000000,41892.0000000,41518.0000000,41738.0000000,2131
