<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
21/06/19,00:00:00,4021.0000000,4075.0000000,4009.0000000,4058.0000000,85661
24/06/19,00:00:00,4064.0000000,4206.0000000,4058.0000000,4162.0000000,107968
25/06/19,00:00:00,4156.0000000,4166.0000000,4098.0000000,4127.0000000,71948
26/06/19,00:00:00,4131.0000000,4161.0000000,4104.0000000,4111.0000000,63267
27/06/19,00:00:00,4112.0000000,4126.0000000,4078.0000000,4104.0000000,63607
28/06/19,00:00:00,4107.0000000,4119.0000000,4044.0000000,4052.0000000,52278
01/07/19,00:00:00,4053.0000000,4145.0000000,4053.0000000,4087.0000000,86853
02/07/19,00:00:00,4090.0000000,4126.0000000,4085.0000000,4113.0000000,35262
03/07/19,00:00:00,4104.0000000,4145.0000000,4094.0000000,4136.0000000,45060
04/07/19,00:00:00,4136.0000000,4295.0000000,4120.0000000,4228.0000000,164638
05/07/19,00:00:00,4228.0000000,4249.0000000,4197.0000000,4210.0000000,58565
08/07/19,00:00:00,4204.0000000,4365.0000000,4153.0000000,4345.0000000,194869
09/07/19,00:00:00,4340.0000000,4403.0000000,4304.0000000,4391.0000000,101717
10/07/19,00:00:00,4391.0000000,4510.0000000,4379.0000000,4469.0000000,193093
11/07/19,00:00:00,4470.0000000,4568.0000000,4391.0000000,4467.0000000,185289
12/07/19,00:00:00,4467.0000000,4508.0000000,4340.0000000,4485.0000000,157070
15/07/19,00:00:00,4485.0000000,4543.0000000,4425.0000000,4457.0000000,146096
16/07/19,00:00:00,4463.0000000,4465.0000000,4347.0000000,4365.0000000,101481
17/07/19,00:00:00,4365.0000000,4408.0000000,4294.0000000,4311.0000000,96835
18/07/19,00:00:00,4313.0000000,4346.0000000,4218.0000000,4314.0000000,126839
19/07/19,00:00:00,4314.0000000,4340.0000000,4280.0000000,4308.0000000,60737
22/07/19,00:00:00,4308.0000000,4446.0000000,4264.0000000,4418.0000000,141095
23/07/19,00:00:00,4425.0000000,4455.0000000,4376.0000000,4406.0000000,93928
24/07/19,00:00:00,4408.0000000,4414.0000000,4315.0000000,4333.0000000,90427
25/07/19,00:00:00,4327.0000000,4418.0000000,4298.0000000,4338.0000000,79037
26/07/19,00:00:00,4338.0000000,4373.0000000,4297.0000000,4320.0000000,66158
29/07/19,00:00:00,4316.0000000,4356.0000000,4293.0000000,4353.0000000,50041
30/07/19,00:00:00,4344.0000000,4353.0000000,4302.0000000,4327.0000000,42960
31/07/19,00:00:00,4329.0000000,4340.0000000,4255.0000000,4281.0000000,44953
01/08/19,00:00:00,4273.0000000,4323.0000000,4216.0000000,4238.0000000,62042
02/08/19,00:00:00,4240.0000000,4265.0000000,4159.0000000,4246.0000000,73717
05/08/19,00:00:00,4246.0000000,4555.0000000,4164.0000000,4184.0000000,130587
06/08/19,00:00:00,4185.0000000,4233.0000000,4167.0000000,4193.0000000,48007
07/08/19,00:00:00,4203.0000000,4220.0000000,4102.0000000,4146.0000000,75854
08/08/19,00:00:00,4145.0000000,4180.0000000,4049.0000000,4117.0000000,113256
09/08/19,00:00:00,4120.0000000,4122.0000000,4080.0000000,4099.0000000,48853
12/08/19,00:00:00,4099.0000000,4130.0000000,4086.0000000,4092.0000000,40537
13/08/19,00:00:00,4094.0000000,4097.0000000,4022.0000000,4074.0000000,72437
14/08/19,00:00:00,4074.0000000,4083.0000000,3915.0000000,3937.0000000,89709
15/08/19,00:00:00,3937.0000000,3963.0000000,3874.0000000,3903.0000000,97685
16/08/19,00:00:00,3907.0000000,3935.0000000,3845.0000000,3849.0000000,59935
19/08/19,00:00:00,3858.0000000,3884.0000000,3839.0000000,3874.0000000,45892
20/08/19,00:00:00,3869.0000000,3982.0000000,3862.0000000,3973.0000000,137310
21/08/19,00:00:00,3974.0000000,4002.0000000,3934.0000000,3960.0000000,87739
22/08/19,00:00:00,3951.0000000,3964.0000000,3883.0000000,3901.0000000,70974
23/08/19,00:00:00,3902.0000000,3904.0000000,3797.0000000,3800.0000000,95121
26/08/19,00:00:00,3796.0000000,3858.0000000,3791.0000000,3826.0000000,63351
27/08/19,00:00:00,3830.0000000,3864.0000000,3809.0000000,3855.0000000,46067
28/08/19,00:00:00,3857.0000000,3897.0000000,3826.0000000,3871.0000000,63395
29/08/19,00:00:00,3866.0000000,3917.0000000,3843.0000000,3883.0000000,73374
30/08/19,00:00:00,3880.0000000,3896.0000000,3843.0000000,3881.0000000,49188
02/09/19,00:00:00,3884.0000000,3987.0000000,3876.0000000,3964.0000000,92816
03/09/19,00:00:00,3961.0000000,3999.0000000,3903.0000000,3947.0000000,72352
04/09/19,00:00:00,3947.0000000,4350.0000000,3947.0000000,4340.0000000,478217
05/09/19,00:00:00,4349.0000000,4430.0000000,4182.0000000,4231.0000000,280490
06/09/19,00:00:00,4232.0000000,4270.0000000,4163.0000000,4212.0000000,96846
09/09/19,00:00:00,4214.0000000,4247.0000000,4144.0000000,4170.0000000,64104
10/09/19,00:00:00,4254.0000000,4365.0000000,4202.0000000,4342.0000000,10545
11/09/19,00:00:00,4342.0000000,4436.0000000,4307.0000000,4348.0000000,7184
12/09/19,00:00:00,4345.0000000,4415.0000000,4331.0000000,4375.0000000,9064
13/09/19,00:00:00,4378.0000000,4410.0000000,4321.0000000,4338.0000000,6151
16/09/19,00:00:00,4345.0000000,4400.0000000,4293.0000000,4357.0000000,14651
17/09/19,00:00:00,4356.0000000,4372.0000000,4293.0000000,4294.0000000,50968
18/09/19,00:00:00,4310.0000000,4374.0000000,4302.0000000,4333.0000000,76097
19/09/19,00:00:00,4333.0000000,4351.0000000,4303.0000000,4314.0000000,51067
20/09/19,00:00:00,4315.0000000,4335.0000000,4261.0000000,4300.0000000,58925
23/09/19,00:00:00,4300.0000000,4334.0000000,4263.0000000,4278.0000000,36868
24/09/19,00:00:00,4302.0000000,4429.0000000,4251.0000000,4258.0000000,166486
25/09/19,00:00:00,4259.0000000,4322.0000000,4225.0000000,4300.0000000,82779
26/09/19,00:00:00,4300.0000000,4394.0000000,4282.0000000,4365.0000000,89450
27/09/19,00:00:00,4357.0000000,4368.0000000,4320.0000000,4335.0000000,40666
30/09/19,00:00:00,4334.0000000,4348.0000000,4274.0000000,4329.0000000,53980
01/10/19,00:00:00,4327.0000000,4349.0000000,4285.0000000,4305.0000000,43888
02/10/19,00:00:00,4303.0000000,4318.0000000,4168.0000000,4192.0000000,81239
03/10/19,00:00:00,4192.0000000,4220.0000000,4100.0000000,4172.0000000,156318
04/10/19,00:00:00,4172.0000000,4190.0000000,4108.0000000,4130.0000000,52768
07/10/19,00:00:00,4127.0000000,4225.0000000,4122.0000000,4193.0000000,64052
08/10/19,00:00:00,4195.0000000,4207.0000000,4115.0000000,4134.0000000,50858
09/10/19,00:00:00,4129.0000000,4189.0000000,4123.0000000,4134.0000000,43095
10/10/19,00:00:00,4138.0000000,4188.0000000,4117.0000000,4186.0000000,41965
11/10/19,00:00:00,4188.0000000,4292.0000000,4188.0000000,4231.0000000,94160
14/10/19,00:00:00,4236.0000000,4272.0000000,4193.0000000,4234.0000000,60737
15/10/19,00:00:00,4238.0000000,4251.0000000,4184.0000000,4234.0000000,38253
16/10/19,00:00:00,4233.0000000,4272.0000000,4224.0000000,4262.0000000,41377
17/10/19,00:00:00,4256.0000000,4271.0000000,4223.0000000,4252.0000000,45199
18/10/19,00:00:00,4252.0000000,4362.0000000,4236.0000000,4328.0000000,103587
21/10/19,00:00:00,4328.0000000,4456.0000000,4324.0000000,4420.0000000,119164
22/10/19,00:00:00,4425.0000000,4441.0000000,4014.0000000,4375.0000000,99839
23/10/19,00:00:00,4372.0000000,4407.0000000,4273.0000000,4351.0000000,134377
24/10/19,00:00:00,4352.0000000,4358.0000000,4297.0000000,4342.0000000,63321
25/10/19,00:00:00,4343.0000000,4376.0000000,4283.0000000,4335.0000000,83922
28/10/19,00:00:00,4340.0000000,4398.0000000,4300.0000000,4312.0000000,73918
29/10/19,00:00:00,4310.0000000,4348.0000000,4299.0000000,4342.0000000,45204
30/10/19,00:00:00,4342.0000000,4431.0000000,4335.0000000,4399.0000000,90400
31/10/19,00:00:00,4404.0000000,4414.0000000,4307.0000000,4335.0000000,76946
01/11/19,00:00:00,4335.0000000,4367.0000000,4317.0000000,4359.0000000,49781
05/11/19,00:00:00,4362.0000000,4477.0000000,4362.0000000,4470.0000000,81060
06/11/19,00:00:00,4469.0000000,4502.0000000,4413.0000000,4432.0000000,136611
07/11/19,00:00:00,4434.0000000,4512.0000000,4392.0000000,4438.0000000,136911
08/11/19,00:00:00,4433.0000000,4660.0000000,4387.0000000,4633.0000000,243055
11/11/19,00:00:00,4628.0000000,4766.0000000,4600.0000000,4721.0000000,235415
12/11/19,00:00:00,4721.0000000,4832.0000000,4691.0000000,4708.0000000,191732
13/11/19,00:00:00,4705.0000000,4834.0000000,4620.0000000,4791.0000000,188625
14/11/19,00:00:00,4792.0000000,4813.0000000,4670.0000000,4716.0000000,177124
15/11/19,00:00:00,4719.0000000,4748.0000000,4620.0000000,4674.0000000,101311
18/11/19,00:00:00,4673.0000000,4749.0000000,4614.0000000,4648.0000000,85695
19/11/19,00:00:00,4648.0000000,4718.0000000,4634.0000000,4670.0000000,66060
20/11/19,00:00:00,4660.0000000,4670.0000000,4592.0000000,4608.0000000,88525
21/11/19,00:00:00,4609.0000000,4662.0000000,4577.0000000,4619.0000000,56912
22/11/19,00:00:00,4617.0000000,4659.0000000,4601.0000000,4617.0000000,53732
25/11/19,00:00:00,4621.0000000,4680.0000000,4614.0000000,4639.0000000,45031
26/11/19,00:00:00,4645.0000000,4655.0000000,4574.0000000,4589.0000000,44918
27/11/19,00:00:00,4593.0000000,4623.0000000,4577.0000000,4598.0000000,28751
28/11/19,00:00:00,4598.0000000,4612.0000000,4543.0000000,4568.0000000,46433
29/11/19,00:00:00,4560.0000000,4583.0000000,4518.0000000,4542.0000000,64941
02/12/19,00:00:00,4547.0000000,4575.0000000,4481.0000000,4493.0000000,59600
03/12/19,00:00:00,4493.0000000,4510.0000000,4413.0000000,4438.0000000,62039
04/12/19,00:00:00,4437.0000000,4491.0000000,4404.0000000,4478.0000000,63258
05/12/19,00:00:00,4487.0000000,4495.0000000,4441.0000000,4474.0000000,36813
06/12/19,00:00:00,4475.0000000,4537.0000000,4468.0000000,4532.0000000,46700
09/12/19,00:00:00,4531.0000000,4557.0000000,4491.0000000,4554.0000000,47238
10/12/19,00:00:00,4630.0000000,4665.0000000,4588.0000000,4607.0000000,1571
11/12/19,00:00:00,4608.0000000,4632.0000000,4597.0000000,4621.0000000,1716
12/12/19,00:00:00,4625.0000000,4640.0000000,4570.0000000,4610.0000000,5275
13/12/19,00:00:00,4629.0000000,4753.0000000,4622.0000000,4714.0000000,8073
16/12/19,00:00:00,4722.0000000,4781.0000000,4705.0000000,4748.0000000,15917
17/12/19,00:00:00,4760.0000000,4766.0000000,4723.0000000,4723.0000000,15048
18/12/19,00:00:00,4725.0000000,4782.0000000,4695.0000000,4772.0000000,52677
19/12/19,00:00:00,4767.0000000,4808.0000000,4695.0000000,4745.0000000,80923
20/12/19,00:00:00,4745.0000000,4750.0000000,4690.0000000,4711.0000000,37977
23/12/19,00:00:00,4706.0000000,4744.0000000,4700.0000000,4735.0000000,34303
24/12/19,00:00:00,4737.0000000,4743.0000000,4701.0000000,4714.0000000,28781
25/12/19,00:00:00,4718.0000000,4726.0000000,4666.0000000,4675.0000000,27393
26/12/19,00:00:00,4678.0000000,4691.0000000,4656.0000000,4672.0000000,23946
27/12/19,00:00:00,4671.0000000,4691.0000000,4646.0000000,4664.0000000,25898
30/12/19,00:00:00,4664.0000000,4693.0000000,4640.0000000,4646.0000000,22791
03/01/20,00:00:00,4653.0000000,4700.0000000,4653.0000000,4676.0000000,27875
06/01/20,00:00:00,4678.0000000,4682.0000000,4651.0000000,4667.0000000,13052
08/01/20,00:00:00,4659.0000000,4762.0000000,4658.0000000,4740.0000000,52017
09/01/20,00:00:00,4740.0000000,4789.0000000,4719.0000000,4774.0000000,71879
10/01/20,00:00:00,4774.0000000,4847.0000000,4758.0000000,4814.0000000,74655
13/01/20,00:00:00,4815.0000000,4907.0000000,4815.0000000,4898.0000000,76618
14/01/20,00:00:00,4897.0000000,4898.0000000,4764.0000000,4776.0000000,116675
