<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/01/19,00:00:00,186.3700000,191.5000000,186.0000000,186.9900000,40105780
04/01/19,00:00:00,187.9900000,190.9900000,187.7700000,190.9900000,32537090
08/01/19,00:00:00,191.6600000,193.1800000,190.3700000,191.2400000,38581950
09/01/19,00:00:00,192.7100000,197.0000000,192.1000000,197.0000000,70633230
10/01/19,00:00:00,196.3000000,197.6400000,195.0300000,196.7500000,56211650
11/01/19,00:00:00,197.1300000,198.9600000,195.6100000,196.8000000,63643670
14/01/19,00:00:00,195.6800000,197.4400000,194.0000000,196.8000000,44643520
15/01/19,00:00:00,197.3900000,198.8400000,195.9100000,198.0000000,52994790
16/01/19,00:00:00,198.6400000,201.3000000,198.0200000,201.2600000,62392390
17/01/19,00:00:00,201.6700000,203.5500000,201.0500000,203.3200000,59827610
18/01/19,00:00:00,204.6000000,208.4400000,203.8300000,208.4400000,74159420
21/01/19,00:00:00,208.9200000,210.2000000,207.1700000,207.1700000,55401630
22/01/19,00:00:00,206.6500000,208.8800000,205.6300000,207.9500000,51269620
23/01/19,00:00:00,207.7500000,212.0000000,207.5200000,210.4000000,79629180
24/01/19,00:00:00,210.4000000,213.4300000,208.5500000,212.2000000,78312890
25/01/19,00:00:00,212.7700000,214.1400000,211.0100000,212.0000000,58500020
28/01/19,00:00:00,212.0000000,213.3000000,207.6300000,209.7000000,56384930
29/01/19,00:00:00,209.7100000,214.4900000,206.9100000,213.6100000,63896190
30/01/19,00:00:00,213.8000000,215.7000000,212.2200000,213.1400000,59281660
31/01/19,00:00:00,215.1700000,218.1000000,214.6700000,217.9000000,80129070
01/02/19,00:00:00,217.9900000,218.7000000,215.0100000,216.2900000,55398450
04/02/19,00:00:00,216.2500000,217.1400000,215.0600000,215.5000000,40874530
05/02/19,00:00:00,216.0000000,218.5500000,214.6100000,217.8500000,46589060
06/02/19,00:00:00,217.9200000,218.1500000,215.4100000,216.5900000,46139530
07/02/19,00:00:00,216.0000000,216.6500000,210.6000000,211.0100000,69155220
08/02/19,00:00:00,209.9900000,211.9300000,208.7000000,210.4300000,51480680
11/02/19,00:00:00,211.0000000,214.7200000,210.8000000,214.0000000,49597150
12/02/19,00:00:00,214.7300000,219.4500000,214.6000000,219.1000000,73524360
13/02/19,00:00:00,219.6000000,220.7000000,213.1000000,213.9000000,85042730
14/02/19,00:00:00,208.5000000,209.8500000,201.7000000,204.4300000,154867810
15/02/19,00:00:00,205.9400000,209.0000000,205.5200000,208.0000000,78872640
18/02/19,00:00:00,208.7000000,209.7300000,203.2000000,204.1900000,76368650
19/02/19,00:00:00,203.6000000,205.6000000,201.1000000,202.0800000,66628330
20/02/19,00:00:00,203.9000000,206.8900000,203.2300000,206.8900000,66614210
21/02/19,00:00:00,207.5600000,207.8700000,202.3000000,203.4100000,68058950
22/02/19,00:00:00,203.6200000,206.1000000,203.0300000,205.2500000,45737340
25/02/19,00:00:00,205.5000000,208.6000000,204.2000000,205.8600000,70760670
26/02/19,00:00:00,204.8000000,205.8000000,202.9000000,205.8000000,50742950
27/02/19,00:00:00,206.0600000,206.9000000,203.9000000,205.4000000,54017660
28/02/19,00:00:00,205.0000000,208.8900000,204.1600000,207.8000000,62293690
01/03/19,00:00:00,208.4400000,209.0000000,206.1000000,206.5400000,46000050
04/03/19,00:00:00,207.0200000,207.5000000,205.2500000,205.5000000,31471880
05/03/19,00:00:00,204.8400000,204.9000000,202.2500000,202.9200000,46296020
06/03/19,00:00:00,202.8900000,205.7000000,202.6000000,205.0000000,52926540
07/03/19,00:00:00,205.1000000,206.6700000,203.5000000,203.9500000,46053890
11/03/19,00:00:00,203.2000000,205.6000000,202.5600000,205.2500000,42374840
12/03/19,00:00:00,206.5000000,206.8900000,204.4000000,205.1000000,42016460
13/03/19,00:00:00,204.6900000,206.0000000,203.8000000,206.0000000,28504220
14/03/19,00:00:00,205.6000000,206.3800000,203.5000000,203.6600000,43825330
15/03/19,00:00:00,204.2000000,204.9500000,203.5500000,203.5500000,35811130
18/03/19,00:00:00,204.2500000,206.1400000,204.1100000,205.9000000,40789510
19/03/19,00:00:00,206.4000000,208.3100000,205.9300000,207.7000000,47705420
20/03/19,00:00:00,207.5500000,209.8400000,206.4000000,209.8000000,55498860
21/03/19,00:00:00,210.2700000,212.2900000,209.7700000,210.6100000,66856470
22/03/19,00:00:00,210.6500000,211.2900000,206.7000000,207.7000000,49381080
25/03/19,00:00:00,206.6600000,214.2000000,205.5500000,214.0000000,107953490
26/03/19,00:00:00,214.7100000,218.4600000,213.1300000,218.0000000,81274550
27/03/19,00:00:00,218.2100000,219.2500000,214.1000000,214.1000000,71870510
28/03/19,00:00:00,214.1400000,215.9500000,213.7200000,215.0700000,47481780
29/03/19,00:00:00,216.0000000,218.1900000,214.4000000,214.4200000,85726830
01/04/19,00:00:00,215.0500000,218.1100000,215.0100000,217.7000000,51669790
02/04/19,00:00:00,218.7500000,219.3200000,216.8000000,218.2300000,49132320
03/04/19,00:00:00,220.1200000,224.1600000,218.8800000,219.0500000,91987840
04/04/19,00:00:00,218.5000000,221.8500000,218.0100000,221.8000000,51920220
05/04/19,00:00:00,222.3500000,227.7000000,222.0300000,227.5000000,77930270
08/04/19,00:00:00,227.9000000,232.3000000,227.9000000,232.3000000,70830180
09/04/19,00:00:00,233.5400000,238.9000000,232.3900000,238.0000000,117168650
10/04/19,00:00:00,239.0000000,245.2500000,237.9400000,243.6800000,129029970
11/04/19,00:00:00,244.4000000,247.2300000,238.8600000,238.8600000,105320630
12/04/19,00:00:00,239.9700000,243.1500000,237.0000000,239.5000000,96065730
15/04/19,00:00:00,240.3900000,242.3000000,237.0600000,237.8000000,47848560
16/04/19,00:00:00,239.0000000,239.5000000,232.3200000,233.2400000,86383980
17/04/19,00:00:00,234.5200000,235.7500000,232.0000000,234.3000000,70133760
18/04/19,00:00:00,233.8000000,234.1100000,230.8400000,232.7900000,55682060
19/04/19,00:00:00,233.4800000,233.5000000,231.9000000,232.6000000,12238240
22/04/19,00:00:00,233.7000000,236.0900000,233.0500000,235.4100000,44233210
