<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01/03/19,00:00:00,118610.0000000,119470.0000000,117830.0000000,118100.0000000,356140
04/03/19,00:00:00,118210.0000000,119200.0000000,117730.0000000,118270.0000000,328701
05/03/19,00:00:00,118270.0000000,118880.0000000,117660.0000000,118870.0000000,295887
06/03/19,00:00:00,118710.0000000,119420.0000000,118330.0000000,118950.0000000,287897
07/03/19,00:00:00,118990.0000000,119190.0000000,117310.0000000,117530.0000000,363608
11/03/19,00:00:00,116430.0000000,116980.0000000,116170.0000000,116970.0000000,3343
12/03/19,00:00:00,116970.0000000,117530.0000000,116700.0000000,117200.0000000,5729
13/03/19,00:00:00,117000.0000000,117800.0000000,116630.0000000,117500.0000000,10993
14/03/19,00:00:00,117700.0000000,117980.0000000,116660.0000000,117020.0000000,19794
15/03/19,00:00:00,117050.0000000,118590.0000000,117050.0000000,118410.0000000,19056
18/03/19,00:00:00,118590.0000000,120880.0000000,118590.0000000,120680.0000000,40490
19/03/19,00:00:00,120600.0000000,120950.0000000,119900.0000000,120500.0000000,55353
20/03/19,00:00:00,120590.0000000,122710.0000000,120150.0000000,122020.0000000,219188
21/03/19,00:00:00,122090.0000000,122600.0000000,121370.0000000,121960.0000000,347552
22/03/19,00:00:00,121960.0000000,122320.0000000,118630.0000000,119020.0000000,459704
25/03/19,00:00:00,119070.0000000,121220.0000000,118690.0000000,120710.0000000,446738
26/03/19,00:00:00,120780.0000000,121700.0000000,120380.0000000,120770.0000000,343090
27/03/19,00:00:00,120830.0000000,121090.0000000,118780.0000000,119300.0000000,379871
28/03/19,00:00:00,119210.0000000,119530.0000000,118510.0000000,119160.0000000,343663
29/03/19,00:00:00,119290.0000000,120360.0000000,117390.0000000,117910.0000000,455740
01/04/19,00:00:00,118000.0000000,120330.0000000,118000.0000000,120230.0000000,332241
02/04/19,00:00:00,120160.0000000,120650.0000000,119200.0000000,120490.0000000,299010
03/04/19,00:00:00,120500.0000000,121450.0000000,119910.0000000,120330.0000000,386960
04/04/19,00:00:00,120240.0000000,120470.0000000,119380.0000000,120020.0000000,311984
05/04/19,00:00:00,120140.0000000,121100.0000000,120070.0000000,121000.0000000,258763
08/04/19,00:00:00,121020.0000000,122570.0000000,120780.0000000,122410.0000000,245837
09/04/19,00:00:00,122430.0000000,123310.0000000,122090.0000000,122590.0000000,271384
10/04/19,00:00:00,122640.0000000,124740.0000000,122640.0000000,124380.0000000,319150
11/04/19,00:00:00,124310.0000000,124540.0000000,122310.0000000,122830.0000000,396586
12/04/19,00:00:00,122920.0000000,124300.0000000,122510.0000000,123170.0000000,359150
15/04/19,00:00:00,123240.0000000,124100.0000000,122130.0000000,123120.0000000,296213
16/04/19,00:00:00,122960.0000000,124470.0000000,122320.0000000,124450.0000000,346754
17/04/19,00:00:00,124470.0000000,125030.0000000,123950.0000000,124510.0000000,307146
