<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,Close,<VOL>
09/04/10,00:00:00,8.569.0000000,8.805.0000000,8.542.0000000,8.707.0000000,349.929
12/04/10,00:00:00,8.709.0000000,8.821.0000000,8.608.0000000,8.651.0000000,340.630
13/04/10,00:00:00,8.644.0000000,8.844.0000000,8.586.0000000,8.827.0000000,382.638
14/04/10,00:00:00,8.835.0000000,9.008.0000000,8.809.0000000,9.000.0000000,332.960
15/04/10,00:00:00,9.005.0000000,9.050.0000000,8.875.0000000,8.901.0000000,348.149
16/04/10,00:00:00,8.900.0000000,8.995.0000000,8.615.0000000,8.652.0000000,463.163
19/04/10,00:00:00,8.650.0000000,8.650.0000000,8.311.0000000,8.625.0000000,599.871
20/04/10,00:00:00,8.635.0000000,8.776.0000000,8.572.0000000,8.735.0000000,483.455
21/04/10,00:00:00,8.739.0000000,8.830.0000000,8.526.0000000,8.566.0000000,475.925
22/04/10,00:00:00,8.562.0000000,8.676.0000000,8.365.0000000,8.586.0000000,607.429
23/04/10,00:00:00,8.575.0000000,8.645.0000000,8.385.0000000,8.550.0000000,564.937
26/04/10,00:00:00,8.551.0000000,8.629.0000000,8.465.0000000,8.473.0000000,365.880
27/04/10,00:00:00,8.468.0000000,8.482.0000000,8.165.0000000,8.168.0000000,518.992
28/04/10,00:00:00,8.166.0000000,8.188.0000000,7.890.0000000,8.036.0000000,793.404
29/04/10,00:00:00,8.037.0000000,8.159.0000000,7.982.0000000,8.154.0000000,437.782
30/04/10,00:00:00,8.145.0000000,8.184.0000000,7.833.0000000,7.892.0000000,494.309
04/05/10,00:00:00,7.924.0000000,8.054.0000000,7.545.0000000,7.552.0000000,672.686
05/05/10,00:00:00,7.551.0000000,7.768.0000000,7.379.0000000,7.506.0000000,749.801
06/05/10,00:00:00,7.504.0000000,7.730.0000000,6.950.0000000,7.034.0000000,810.903
07/05/10,00:00:00,7.056.0000000,7.285.0000000,6.924.0000000,7.085.0000000,996.875
11/05/10,00:00:00,7.087.0000000,7.691.0000000,7.087.0000000,7.570.0000000,852.657
12/05/10,00:00:00,7.561.0000000,8.299.0000000,7.432.0000000,8.255.0000000,1.165.487
13/05/10,00:00:00,8.256.0000000,8.499.0000000,7.959.0000000,8.028.0000000,1.220.737
14/05/10,00:00:00,8.028.0000000,8.085.0000000,7.656.0000000,7.714.0000000,876.512
17/05/10,00:00:00,7.710.0000000,7.770.0000000,7.495.0000000,7.701.0000000,948.810
18/05/10,00:00:00,7.701.0000000,7.856.0000000,7.577.0000000,7.599.0000000,968.629
19/05/10,00:00:00,7.590.0000000,7.614.0000000,7.326.0000000,7.509.0000000,989.823
20/05/10,00:00:00,7.495.0000000,7.540.0000000,6.914.0000000,7.010.0000000,1.241.815
21/05/10,00:00:00,7.015.0000000,7.169.0000000,6.716.0000000,7.026.0000000,1.340.830
24/05/10,00:00:00,7.034.0000000,7.181.0000000,6.910.0000000,6.982.0000000,889.667
25/05/10,00:00:00,6.975.0000000,6.975.0000000,6.401.0000000,6.624.0000000,910.144
26/05/10,00:00:00,6.624.0000000,6.932.0000000,6.570.0000000,6.750.0000000,1.089.882
27/05/10,00:00:00,6.757.0000000,7.165.0000000,6.757.0000000,7.155.0000000,1.061.098
28/05/10,00:00:00,7.145.0000000,7.204.0000000,6.892.0000000,6.950.0000000,722.881
31/05/10,00:00:00,6.950.0000000,7.140.0000000,6.950.0000000,7.119.0000000,294.762
01/06/10,00:00:00,7.115.0000000,7.158.0000000,6.807.0000000,6.988.0000000,757.482
02/06/10,00:00:00,6.985.0000000,7.197.0000000,6.898.0000000,7.186.0000000,723.954
03/06/10,00:00:00,7.193.0000000,7.339.0000000,7.122.0000000,7.210.0000000,591.101
04/06/10,00:00:00,7.223.0000000,7.361.0000000,6.881.0000000,6.883.0000000,774.962
07/06/10,00:00:00,6.881.0000000,7.168.0000000,6.711.0000000,7.024.0000000,704.816
08/06/10,00:00:00,7.025.0000000,7.250.0000000,7.015.0000000,7.217.0000000,623.586
09/06/10,00:00:00,7.207.0000000,7.244.0000000,7.070.0000000,7.185.0000000,440.128
10/06/10,00:00:00,7.189.0000000,7.429.0000000,7.117.0000000,7.421.0000000,549.960
11/06/10,00:00:00,7.415.0000000,7.432.0000000,7.175.0000000,7.289.0000000,583.004
15/06/10,00:00:00,7.290.0000000,7.765.0000000,7.257.0000000,7.746.0000000,549.827
16/06/10,00:00:00,7.750.0000000,7.805.0000000,7.573.0000000,7.744.0000000,619.821
17/06/10,00:00:00,7.733.0000000,8.012.0000000,7.650.0000000,7.915.0000000,992.175
18/06/10,00:00:00,7.918.0000000,8.096.0000000,7.785.0000000,8.057.0000000,659.976
21/06/10,00:00:00,8.059.0000000,8.489.0000000,8.059.0000000,8.315.0000000,550.034
22/06/10,00:00:00,8.311.0000000,8.425.0000000,8.146.0000000,8.196.0000000,681.045
23/06/10,00:00:00,8.208.0000000,8.344.0000000,8.105.0000000,8.194.0000000,560.918
24/06/10,00:00:00,8.200.0000000,8.245.0000000,8.020.0000000,8.039.0000000,600.444
25/06/10,00:00:00,8.047.0000000,8.079.0000000,7.750.0000000,7.914.0000000,701.112
28/06/10,00:00:00,7.900.0000000,8.142.0000000,7.863.0000000,8.076.0000000,571.276
29/06/10,00:00:00,8.070.0000000,8.070.0000000,7.687.0000000,7.720.0000000,589.075
30/06/10,00:00:00,7.728.0000000,7.880.0000000,7.591.0000000,7.600.0000000,796.612
01/07/10,00:00:00,7.590.0000000,7.590.0000000,7.197.0000000,7.301.0000000,806.770
02/07/10,00:00:00,7.310.0000000,7.430.0000000,7.196.0000000,7.390.0000000,764.382
05/07/10,00:00:00,7.380.0000000,7.415.0000000,7.295.0000000,7.327.0000000,346.127
06/07/10,00:00:00,7.340.0000000,7.705.0000000,7.340.0000000,7.595.0000000,688.779
07/07/10,00:00:00,7.585.0000000,7.884.0000000,7.430.0000000,7.876.0000000,758.218
08/07/10,00:00:00,7.875.0000000,7.978.0000000,7.719.0000000,7.845.0000000,580.940
09/07/10,00:00:00,7.859.0000000,7.887.0000000,7.630.0000000,7.815.0000000,510.139
12/07/10,00:00:00,7.814.0000000,8.061.0000000,7.741.0000000,8.025.0000000,610.804
13/07/10,00:00:00,8.022.0000000,8.335.0000000,7.933.0000000,8.305.0000000,696.213
14/07/10,00:00:00,8.318.0000000,8.369.0000000,8.152.0000000,8.203.0000000,643.696
15/07/10,00:00:00,8.210.0000000,8.453.0000000,8.061.0000000,8.178.0000000,805.669
16/07/10,00:00:00,8.177.0000000,8.227.0000000,7.857.0000000,7.867.0000000,773.511
19/07/10,00:00:00,7.868.0000000,8.182.0000000,7.856.0000000,8.121.0000000,579.917
20/07/10,00:00:00,8.121.0000000,8.196.0000000,7.896.0000000,8.127.0000000,691.152
21/07/10,00:00:00,8.122.0000000,8.260.0000000,8.065.0000000,8.130.0000000,666.488
22/07/10,00:00:00,8.110.0000000,8.445.0000000,8.090.0000000,8.380.0000000,648.122
23/07/10,00:00:00,8.390.0000000,8.446.0000000,8.258.0000000,8.393.0000000,661.978
26/07/10,00:00:00,8.399.0000000,8.494.0000000,8.340.0000000,8.460.0000000,524.235
27/07/10,00:00:00,8.450.0000000,8.600.0000000,8.381.0000000,8.491.0000000,520.624
28/07/10,00:00:00,8.507.0000000,8.583.0000000,8.405.0000000,8.442.0000000,509.724
29/07/10,00:00:00,8.447.0000000,8.698.0000000,8.447.0000000,8.623.0000000,479.301
30/07/10,00:00:00,8.618.0000000,8.644.0000000,8.335.0000000,8.491.0000000,605.201
02/08/10,00:00:00,8.505.0000000,8.744.0000000,8.505.0000000,8.722.0000000,443.859
