<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20/12/05,00:00:00,35000.0000000,35180.0000000,35000.0000000,35151.0000000,17
21/12/05,00:00:00,35320.0000000,35400.0000000,35171.0000000,35400.0000000,43
22/12/05,00:00:00,35550.0000000,37581.0000000,35550.0000000,37581.0000000,508
23/12/05,00:00:00,37495.0000000,39490.0000000,37300.0000000,38000.0000000,1736
26/12/05,00:00:00,38200.0000000,38950.0000000,38140.0000000,38350.0000000,240
27/12/05,00:00:00,39500.0000000,39500.0000000,38350.0000000,38360.0000000,490
28/12/05,00:00:00,38600.0000000,38600.0000000,37800.0000000,38191.0000000,641
29/12/05,00:00:00,38000.0000000,38600.0000000,37895.0000000,38350.0000000,306
30/12/05,00:00:00,38847.0000000,38847.0000000,38312.0000000,38312.0000000,22
10/01/06,00:00:00,40000.0000000,41550.0000000,39300.0000000,41000.0000000,339
11/01/06,00:00:00,40900.0000000,43000.0000000,40700.0000000,42694.0000000,911
12/01/06,00:00:00,44000.0000000,48675.0000000,44000.0000000,48500.0000000,1055
13/01/06,00:00:00,46500.0000000,51000.0000000,45151.0000000,46550.0000000,703
16/01/06,00:00:00,46100.0000000,48000.0000000,45802.0000000,47000.0000000,325
17/01/06,00:00:00,49500.0000000,49500.0000000,43500.0000000,43850.0000000,618
18/01/06,00:00:00,42500.0000000,42630.0000000,40523.0000000,41250.0000000,421
19/01/06,00:00:00,41200.0000000,44890.0000000,41100.0000000,44100.0000000,287
20/01/06,00:00:00,45700.0000000,45950.0000000,43492.0000000,45000.0000000,267
23/01/06,00:00:00,44010.0000000,44010.0000000,42089.0000000,42500.0000000,162
24/01/06,00:00:00,42949.0000000,43600.0000000,42500.0000000,43350.0000000,273
25/01/06,00:00:00,43630.0000000,43750.0000000,43050.0000000,43750.0000000,295
26/01/06,00:00:00,43950.0000000,43950.0000000,43000.0000000,43403.0000000,120
27/01/06,00:00:00,43200.0000000,44291.0000000,42951.0000000,43950.0000000,201
30/01/06,00:00:00,44100.0000000,44100.0000000,42050.0000000,43099.0000000,142
31/01/06,00:00:00,42500.0000000,43450.0000000,42000.0000000,42000.0000000,283
01/02/06,00:00:00,41910.0000000,42400.0000000,41900.0000000,42200.0000000,67
02/02/06,00:00:00,42200.0000000,43000.0000000,42000.0000000,43000.0000000,105
03/02/06,00:00:00,42000.0000000,42400.0000000,41100.0000000,41621.0000000,160
06/02/06,00:00:00,41000.0000000,42400.0000000,41000.0000000,42111.0000000,115
07/02/06,00:00:00,41751.0000000,42500.0000000,41450.0000000,42270.0000000,225
08/02/06,00:00:00,41505.0000000,43248.0000000,41250.0000000,43248.0000000,94
09/02/06,00:00:00,43400.0000000,45200.0000000,43400.0000000,45200.0000000,391
10/02/06,00:00:00,45700.0000000,46200.0000000,43953.0000000,45248.0000000,133
13/02/06,00:00:00,44200.0000000,44500.0000000,43800.0000000,43800.0000000,110
14/02/06,00:00:00,44680.0000000,45400.0000000,44250.0000000,44500.0000000,129
15/02/06,00:00:00,44900.0000000,45250.0000000,43800.0000000,44100.0000000,367
16/02/06,00:00:00,44100.0000000,45499.0000000,44100.0000000,44500.0000000,246
17/02/06,00:00:00,44755.0000000,45800.0000000,44755.0000000,45499.0000000,73
20/02/06,00:00:00,46000.0000000,46350.0000000,45852.0000000,46000.0000000,243
21/02/06,00:00:00,45300.0000000,46297.0000000,42100.0000000,44400.0000000,161
22/02/06,00:00:00,45200.0000000,45200.0000000,44600.0000000,45179.0000000,56
26/02/06,00:00:00,44950.0000000,46350.0000000,44950.0000000,46350.0000000,358
27/02/06,00:00:00,45701.0000000,46800.0000000,45050.0000000,45350.0000000,245
28/02/06,00:00:00,45000.0000000,45950.0000000,43100.0000000,43100.0000000,233
01/03/06,00:00:00,43200.0000000,43366.0000000,42000.0000000,42000.0000000,102
02/03/06,00:00:00,43113.0000000,43113.0000000,42525.0000000,42800.0000000,74
03/03/06,00:00:00,43500.0000000,43500.0000000,42785.0000000,42972.0000000,251
06/03/06,00:00:00,43000.0000000,43463.0000000,42800.0000000,42877.0000000,516
07/03/06,00:00:00,42800.0000000,42800.0000000,40500.0000000,40500.0000000,182
09/03/06,00:00:00,39500.0000000,41000.0000000,38001.0000000,39200.0000000,515
10/03/06,00:00:00,40040.0000000,40500.0000000,39500.0000000,40100.0000000,358
13/03/06,00:00:00,40850.0000000,41970.0000000,40600.0000000,41200.0000000,276
14/03/06,00:00:00,41750.0000000,43100.0000000,39500.0000000,40340.0000000,1091
15/03/06,00:00:00,40401.0000000,40500.0000000,39550.0000000,40000.0000000,572
16/03/06,00:00:00,39711.0000000,40350.0000000,39700.0000000,40050.0000000,585
17/03/06,00:00:00,40050.0000000,40950.0000000,40050.0000000,40600.0000000,689
20/03/06,00:00:00,40510.0000000,41250.0000000,40470.0000000,40800.0000000,309
21/03/06,00:00:00,40600.0000000,40900.0000000,40600.0000000,40600.0000000,114
22/03/06,00:00:00,40400.0000000,40910.0000000,40400.0000000,40850.0000000,149
23/03/06,00:00:00,40700.0000000,42250.0000000,40700.0000000,41800.0000000,406
24/03/06,00:00:00,41918.0000000,41918.0000000,40500.0000000,41230.0000000,590
27/03/06,00:00:00,41028.0000000,41530.0000000,40900.0000000,41483.0000000,136
28/03/06,00:00:00,41252.0000000,41460.0000000,40259.0000000,40505.0000000,301
29/03/06,00:00:00,40125.0000000,40534.0000000,39800.0000000,39800.0000000,233
30/03/06,00:00:00,40500.0000000,41250.0000000,40485.0000000,41250.0000000,351
31/03/06,00:00:00,41000.0000000,41650.0000000,41000.0000000,41400.0000000,166
03/04/06,00:00:00,41508.0000000,41653.0000000,41364.0000000,41450.0000000,60
04/04/06,00:00:00,41853.0000000,41853.0000000,40900.0000000,40900.0000000,142
05/04/06,00:00:00,41258.0000000,42150.0000000,41258.0000000,42150.0000000,186
06/04/06,00:00:00,42650.0000000,42653.0000000,41588.0000000,41588.0000000,290
07/04/06,00:00:00,41785.0000000,42720.0000000,41785.0000000,42295.0000000,94
10/04/06,00:00:00,42490.0000000,43550.0000000,42100.0000000,43300.0000000,452
11/04/06,00:00:00,44053.0000000,45000.0000000,43040.0000000,43062.0000000,957
12/04/06,00:00:00,43500.0000000,43800.0000000,42779.0000000,43800.0000000,415
13/04/06,00:00:00,44040.0000000,44222.0000000,43040.0000000,43187.0000000,184
14/04/06,00:00:00,43249.0000000,43650.0000000,43249.0000000,43650.0000000,37
17/04/06,00:00:00,43813.0000000,43813.0000000,43428.0000000,43742.0000000,137
18/04/06,00:00:00,44040.0000000,44213.0000000,43818.0000000,43843.0000000,132
19/04/06,00:00:00,44455.0000000,44455.0000000,43600.0000000,43800.0000000,348
20/04/06,00:00:00,44070.0000000,44070.0000000,42640.0000000,43000.0000000,239
21/04/06,00:00:00,42748.0000000,43151.0000000,42654.0000000,43084.0000000,44
24/04/06,00:00:00,43008.0000000,43110.0000000,42601.0000000,42698.0000000,166
25/04/06,00:00:00,42491.0000000,43600.0000000,42026.0000000,43300.0000000,872
26/04/06,00:00:00,44040.0000000,47715.0000000,43659.0000000,47715.0000000,2668
27/04/06,00:00:00,49778.0000000,50200.0000000,45500.0000000,46100.0000000,2122
28/04/06,00:00:00,46500.0000000,49975.0000000,45570.0000000,48747.0000000,2119
02/05/06,00:00:00,49000.0000000,52624.0000000,48800.0000000,52125.0000000,818
03/05/06,00:00:00,52775.0000000,52900.0000000,49463.0000000,50062.0000000,893
04/05/06,00:00:00,49600.0000000,50800.0000000,49500.0000000,50350.0000000,588
05/05/06,00:00:00,49900.0000000,51401.0000000,49500.0000000,50096.0000000,580
06/05/06,00:00:00,50001.0000000,50590.0000000,50001.0000000,50367.0000000,67
10/05/06,00:00:00,49555.0000000,53000.0000000,48250.0000000,48500.0000000,492
11/05/06,00:00:00,48800.0000000,49610.0000000,46300.0000000,47250.0000000,898
12/05/06,00:00:00,46700.0000000,47234.0000000,46040.0000000,46700.0000000,598
15/05/06,00:00:00,45500.0000000,46320.0000000,43807.0000000,43807.0000000,703
16/05/06,00:00:00,43700.0000000,44699.0000000,39919.0000000,44100.0000000,1463
17/05/06,00:00:00,44500.0000000,45350.0000000,42000.0000000,42040.0000000,726
18/05/06,00:00:00,41500.0000000,42700.0000000,39900.0000000,42448.0000000,526
19/05/06,00:00:00,42825.0000000,43040.0000000,41213.0000000,41905.0000000,236
22/05/06,00:00:00,40908.0000000,41557.0000000,37881.0000000,39200.0000000,343
23/05/06,00:00:00,37329.0000000,42000.0000000,36415.0000000,42000.0000000,759
24/05/06,00:00:00,40500.0000000,41000.0000000,39403.0000000,40682.0000000,441
25/05/06,00:00:00,40653.0000000,44000.0000000,40000.0000000,44000.0000000,378
26/05/06,00:00:00,44899.0000000,45306.0000000,43444.0000000,44810.0000000,539
29/05/06,00:00:00,45899.0000000,45899.0000000,43000.0000000,43010.0000000,230
30/05/06,00:00:00,43010.0000000,43297.0000000,41588.0000000,43297.0000000,178
31/05/06,00:00:00,42000.0000000,43999.0000000,41833.0000000,42943.0000000,104
01/06/06,00:00:00,43382.0000000,45897.0000000,41701.0000000,45500.0000000,490
02/06/06,00:00:00,45900.0000000,47700.0000000,45900.0000000,47600.0000000,335
05/06/06,00:00:00,47601.0000000,48020.0000000,46000.0000000,47195.0000000,527
06/06/06,00:00:00,46113.0000000,46150.0000000,44001.0000000,44110.0000000,375
07/06/06,00:00:00,45200.0000000,46045.0000000,43200.0000000,44200.0000000,176
08/06/06,00:00:00,43471.0000000,44500.0000000,42000.0000000,42500.0000000,91
09/06/06,00:00:00,42501.0000000,43699.0000000,42315.0000000,42800.0000000,440
13/06/06,00:00:00,40500.0000000,40900.0000000,40229.0000000,40500.0000000,245
