<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
16/01/19,22:00:00,116190.0000000,116350.0000000,116110.0000000,116290.0000000,6075
16/01/19,23:00:00,116290.0000000,116620.0000000,116230.0000000,116260.0000000,15275
17/01/19,00:00:00,116250.0000000,116320.0000000,116100.0000000,116120.0000000,8122
17/01/19,11:00:00,116110.0000000,116220.0000000,115410.0000000,115460.0000000,43015
17/01/19,12:00:00,115450.0000000,115760.0000000,115210.0000000,115670.0000000,38681
17/01/19,13:00:00,115680.0000000,115790.0000000,115010.0000000,115150.0000000,39523
17/01/19,14:00:00,115140.0000000,115490.0000000,115060.0000000,115430.0000000,22071
17/01/19,15:00:00,115440.0000000,115620.0000000,115370.0000000,115530.0000000,18335
17/01/19,16:00:00,115530.0000000,115600.0000000,115250.0000000,115380.0000000,18671
17/01/19,17:00:00,115390.0000000,115520.0000000,115160.0000000,115430.0000000,23875
17/01/19,18:00:00,115420.0000000,115750.0000000,115160.0000000,115680.0000000,32362
17/01/19,19:00:00,115680.0000000,115910.0000000,115540.0000000,115690.0000000,34566
17/01/19,20:00:00,115740.0000000,116230.0000000,115730.0000000,116190.0000000,24070
17/01/19,21:00:00,116190.0000000,116320.0000000,115900.0000000,115940.0000000,14184
17/01/19,22:00:00,115930.0000000,116350.0000000,115900.0000000,116180.0000000,13629
17/01/19,23:00:00,116180.0000000,116840.0000000,115950.0000000,116490.0000000,31700
18/01/19,00:00:00,116500.0000000,116600.0000000,116300.0000000,116360.0000000,11856
18/01/19,11:00:00,116500.0000000,117450.0000000,116500.0000000,117120.0000000,51765
18/01/19,12:00:00,117120.0000000,117280.0000000,116880.0000000,117020.0000000,24965
18/01/19,13:00:00,117020.0000000,117170.0000000,116830.0000000,117080.0000000,22263
18/01/19,14:00:00,117090.0000000,117130.0000000,116560.0000000,116700.0000000,30645
18/01/19,15:00:00,116700.0000000,117100.0000000,116570.0000000,117050.0000000,21209
18/01/19,16:00:00,117050.0000000,117070.0000000,116790.0000000,116900.0000000,16037
18/01/19,17:00:00,116900.0000000,117280.0000000,116890.0000000,117180.0000000,20666
18/01/19,18:00:00,117190.0000000,117420.0000000,117010.0000000,117390.0000000,29673
18/01/19,19:00:00,117380.0000000,117810.0000000,117300.0000000,117660.0000000,50317
18/01/19,20:00:00,117700.0000000,118160.0000000,117680.0000000,117980.0000000,32851
18/01/19,21:00:00,117990.0000000,118070.0000000,117910.0000000,117970.0000000,7109
18/01/19,22:00:00,117980.0000000,118100.0000000,117920.0000000,118030.0000000,5268
18/01/19,23:00:00,118030.0000000,118050.0000000,117780.0000000,117780.0000000,5124
19/01/19,00:00:00,117780.0000000,117870.0000000,117720.0000000,117870.0000000,7286
21/01/19,11:00:00,117880.0000000,118060.0000000,117560.0000000,117730.0000000,29998
21/01/19,12:00:00,117740.0000000,117810.0000000,117430.0000000,117440.0000000,24434
21/01/19,13:00:00,117440.0000000,117650.0000000,117310.0000000,117580.0000000,17948
21/01/19,14:00:00,117580.0000000,117950.0000000,117560.0000000,117770.0000000,17410
21/01/19,15:00:00,117770.0000000,117880.0000000,117590.0000000,117690.0000000,14658
21/01/19,16:00:00,117700.0000000,117990.0000000,117690.0000000,117850.0000000,15174
21/01/19,17:00:00,117860.0000000,117970.0000000,117840.0000000,117880.0000000,9471
21/01/19,18:00:00,117880.0000000,118110.0000000,117510.0000000,117550.0000000,24920
21/01/19,19:00:00,117560.0000000,117670.0000000,117400.0000000,117480.0000000,18024
21/01/19,20:00:00,117480.0000000,117570.0000000,117220.0000000,117320.0000000,12712
21/01/19,21:00:00,117330.0000000,117510.0000000,117280.0000000,117430.0000000,5064
21/01/19,22:00:00,117430.0000000,117460.0000000,117300.0000000,117460.0000000,2534
21/01/19,23:00:00,117460.0000000,117510.0000000,117340.0000000,117390.0000000,2638
22/01/19,00:00:00,117410.0000000,117510.0000000,117340.0000000,117370.0000000,2437
22/01/19,11:00:00,117370.0000000,117370.0000000,116420.0000000,116560.0000000,50153
22/01/19,12:00:00,116560.0000000,117160.0000000,116380.0000000,116990.0000000,42765
22/01/19,13:00:00,116990.0000000,117200.0000000,116600.0000000,116720.0000000,30125
22/01/19,14:00:00,116700.0000000,116910.0000000,116670.0000000,116790.0000000,12299
22/01/19,15:00:00,116780.0000000,116790.0000000,116420.0000000,116660.0000000,22657
22/01/19,16:00:00,116650.0000000,116960.0000000,116630.0000000,116820.0000000,20503
22/01/19,17:00:00,116840.0000000,117120.0000000,116740.0000000,116860.0000000,19671
22/01/19,18:00:00,116860.0000000,117190.0000000,116700.0000000,117130.0000000,31077
22/01/19,19:00:00,117140.0000000,117190.0000000,116360.0000000,117040.0000000,53682
22/01/19,20:00:00,116890.0000000,117410.0000000,116840.0000000,116940.0000000,25284
22/01/19,21:00:00,116940.0000000,117200.0000000,116930.0000000,117000.0000000,8309
22/01/19,22:00:00,116990.0000000,117000.0000000,116490.0000000,116700.0000000,19710
22/01/19,23:00:00,116690.0000000,116710.0000000,116450.0000000,116540.0000000,12526
23/01/19,00:00:00,116540.0000000,116780.0000000,116420.0000000,116670.0000000,9235
23/01/19,11:00:00,116780.0000000,117850.0000000,116780.0000000,117820.0000000,51011
23/01/19,12:00:00,117820.0000000,117880.0000000,117550.0000000,117800.0000000,27585
23/01/19,13:00:00,117800.0000000,118470.0000000,117730.0000000,118460.0000000,39316
23/01/19,14:00:00,118460.0000000,118930.0000000,118340.0000000,118810.0000000,41186
23/01/19,15:00:00,118810.0000000,118950.0000000,118670.0000000,118820.0000000,22018
23/01/19,16:00:00,118820.0000000,119000.0000000,118740.0000000,118800.0000000,15472
23/01/19,17:00:00,118810.0000000,118950.0000000,118470.0000000,118710.0000000,21873
23/01/19,18:00:00,118720.0000000,118910.0000000,118580.0000000,118710.0000000,25042
23/01/19,19:00:00,118710.0000000,118990.0000000,118550.0000000,118700.0000000,27474
23/01/19,20:00:00,118700.0000000,118890.0000000,117880.0000000,117960.0000000,39459
23/01/19,21:00:00,117950.0000000,118540.0000000,117910.0000000,118460.0000000,25426
23/01/19,22:00:00,118470.0000000,118560.0000000,118290.0000000,118420.0000000,10234
23/01/19,23:00:00,118430.0000000,118540.0000000,118310.0000000,118400.0000000,9260
24/01/19,00:00:00,118390.0000000,118600.0000000,118340.0000000,118550.0000000,6718
24/01/19,11:00:00,118490.0000000,119060.0000000,118230.0000000,119020.0000000,58283
24/01/19,12:00:00,119010.0000000,119350.0000000,118850.0000000,118870.0000000,46163
24/01/19,13:00:00,118880.0000000,119430.0000000,118640.0000000,119180.0000000,42962
24/01/19,14:00:00,119190.0000000,119280.0000000,118760.0000000,118870.0000000,29413
24/01/19,15:00:00,118860.0000000,118920.0000000,118410.0000000,118740.0000000,28423
24/01/19,16:00:00,118740.0000000,118850.0000000,118360.0000000,118380.0000000,19698
24/01/19,17:00:00,118370.0000000,118750.0000000,118080.0000000,118180.0000000,39248
24/01/19,18:00:00,118180.0000000,118800.0000000,118160.0000000,118720.0000000,32469
24/01/19,19:00:00,118710.0000000,119170.0000000,118600.0000000,119130.0000000,28971
24/01/19,20:00:00,119030.0000000,119470.0000000,118840.0000000,119170.0000000,32752
24/01/19,21:00:00,119170.0000000,119230.0000000,118970.0000000,119080.0000000,10657
24/01/19,22:00:00,119070.0000000,119220.0000000,118990.0000000,119160.0000000,7443
24/01/19,23:00:00,119150.0000000,119270.0000000,119050.0000000,119260.0000000,5376
25/01/19,00:00:00,119240.0000000,119350.0000000,119160.0000000,119170.0000000,5173
25/01/19,11:00:00,119270.0000000,119640.0000000,119030.0000000,119260.0000000,39450
25/01/19,12:00:00,119250.0000000,119310.0000000,118980.0000000,119160.0000000,24946
25/01/19,13:00:00,119150.0000000,119250.0000000,118620.0000000,118650.0000000,44502
25/01/19,14:00:00,118640.0000000,118830.0000000,118610.0000000,118740.0000000,16689
25/01/19,15:00:00,118760.0000000,118860.0000000,118600.0000000,118670.0000000,16497
25/01/19,16:00:00,118670.0000000,118670.0000000,118270.0000000,118550.0000000,29505
25/01/19,17:00:00,118560.0000000,119070.0000000,118550.0000000,118810.0000000,26094
25/01/19,18:00:00,118810.0000000,119150.0000000,118660.0000000,119030.0000000,26228
25/01/19,19:00:00,119050.0000000,119190.0000000,118940.0000000,119050.0000000,20625
25/01/19,20:00:00,119080.0000000,119250.0000000,118870.0000000,119090.0000000,14948
25/01/19,21:00:00,119100.0000000,119290.0000000,118990.0000000,119100.0000000,9162
25/01/19,22:00:00,119100.0000000,119160.0000000,119010.0000000,119040.0000000,3021
25/01/19,23:00:00,119040.0000000,119170.0000000,118950.0000000,119030.0000000,6144
26/01/19,00:00:00,119040.0000000,119120.0000000,118900.0000000,119010.0000000,5970
28/01/19,11:00:00,118970.0000000,119870.0000000,118800.0000000,119560.0000000,46330
28/01/19,12:00:00,119560.0000000,119600.0000000,118850.0000000,119060.0000000,40379
28/01/19,13:00:00,119060.0000000,119140.0000000,118660.0000000,118760.0000000,25120
28/01/19,14:00:00,118760.0000000,118960.0000000,118640.0000000,118750.0000000,16326
28/01/19,15:00:00,118750.0000000,118910.0000000,118670.0000000,118720.0000000,12578
28/01/19,16:00:00,118720.0000000,118840.0000000,118590.0000000,118640.0000000,14023
28/01/19,17:00:00,118660.0000000,118770.0000000,118510.0000000,118670.0000000,15799
28/01/19,18:00:00,118680.0000000,118690.0000000,117670.0000000,117760.0000000,58695
28/01/19,19:00:00,117770.0000000,118130.0000000,117650.0000000,117930.0000000,41764
28/01/19,20:00:00,117790.0000000,117910.0000000,117510.0000000,117550.0000000,24770
28/01/19,21:00:00,117550.0000000,117770.0000000,117460.0000000,117600.0000000,10808
28/01/19,22:00:00,117590.0000000,117720.0000000,117580.0000000,117680.0000000,6179
28/01/19,23:00:00,117680.0000000,117880.0000000,117650.0000000,117810.0000000,9317
29/01/19,00:00:00,117820.0000000,118070.0000000,117740.0000000,117940.0000000,9714
29/01/19,11:00:00,118000.0000000,118050.0000000,117110.0000000,117170.0000000,48800
29/01/19,12:00:00,117160.0000000,117820.0000000,117140.0000000,117740.0000000,37061
29/01/19,13:00:00,117740.0000000,118210.0000000,117670.0000000,118190.0000000,40764
29/01/19,14:00:00,118170.0000000,118440.0000000,118040.0000000,118370.0000000,31648
29/01/19,15:00:00,118360.0000000,118630.0000000,118140.0000000,118610.0000000,27195
29/01/19,16:00:00,118630.0000000,118800.0000000,118210.0000000,118210.0000000,35381
29/01/19,17:00:00,118220.0000000,118610.0000000,118110.0000000,118560.0000000,21494
29/01/19,18:00:00,118570.0000000,119390.0000000,118560.0000000,119290.0000000,53374
29/01/19,19:00:00,119290.0000000,119580.0000000,119010.0000000,119180.0000000,38266
29/01/19,20:00:00,119060.0000000,119170.0000000,118720.0000000,119030.0000000,21821
29/01/19,21:00:00,119030.0000000,119120.0000000,118910.0000000,119040.0000000,8559
29/01/19,22:00:00,119050.0000000,119150.0000000,118940.0000000,119110.0000000,5283
29/01/19,23:00:00,119120.0000000,119120.0000000,118820.0000000,118820.0000000,5469
30/01/19,00:00:00,118820.0000000,119060.0000000,118750.0000000,119060.0000000,6496
30/01/19,11:00:00,118970.0000000,119640.0000000,118930.0000000,119540.0000000,43855
30/01/19,12:00:00,119530.0000000,119750.0000000,119210.0000000,119700.0000000,31952
30/01/19,13:00:00,119690.0000000,119710.0000000,119220.0000000,119550.0000000,26130
30/01/19,14:00:00,119550.0000000,119780.0000000,119540.0000000,119760.0000000,18451
30/01/19,15:00:00,119770.0000000,120170.0000000,119760.0000000,120000.0000000,34162
30/01/19,16:00:00,120000.0000000,120280.0000000,119940.0000000,120070.0000000,22424
30/01/19,17:00:00,120070.0000000,120150.0000000,119860.0000000,119920.0000000,21158
30/01/19,18:00:00,119930.0000000,120170.0000000,119730.0000000,119860.0000000,32190
30/01/19,19:00:00,119870.0000000,119920.0000000,119570.0000000,119670.0000000,28775
30/01/19,20:00:00,119920.0000000,120320.0000000,119830.0000000,120240.0000000,23571
30/01/19,21:00:00,120250.0000000,120280.0000000,120040.0000000,120160.0000000,7731
30/01/19,22:00:00,120150.0000000,120220.0000000,120050.0000000,120080.0000000,4779
30/01/19,23:00:00,120080.0000000,121760.0000000,120080.0000000,121690.0000000,82876
31/01/19,00:00:00,121700.0000000,121750.0000000,121450.0000000,121630.0000000,19803
31/01/19,11:00:00,121730.0000000,122380.0000000,121290.0000000,122160.0000000,64911
31/01/19,12:00:00,122160.0000000,122720.0000000,121930.0000000,121950.0000000,63973
31/01/19,13:00:00,121940.0000000,122200.0000000,121650.0000000,122020.0000000,46544
31/01/19,14:00:00,122020.0000000,122100.0000000,121760.0000000,121900.0000000,27599
31/01/19,15:00:00,121920.0000000,122130.0000000,121610.0000000,121910.0000000,25612
31/01/19,16:00:00,121910.0000000,122000.0000000,121790.0000000,121850.0000000,13487
31/01/19,17:00:00,121840.0000000,122160.0000000,121780.0000000,121970.0000000,20642
31/01/19,18:00:00,121960.0000000,121990.0000000,121220.0000000,121500.0000000,56340
31/01/19,19:00:00,121490.0000000,121790.0000000,121450.0000000,121540.0000000,26939
31/01/19,20:00:00,121400.0000000,121650.0000000,120960.0000000,121580.0000000,34784
31/01/19,21:00:00,121570.0000000,121640.0000000,121390.0000000,121460.0000000,11663
31/01/19,22:00:00,121460.0000000,121540.0000000,121120.0000000,121330.0000000,14781
31/01/19,23:00:00,121320.0000000,121420.0000000,121250.0000000,121350.0000000,5281
01/02/19,00:00:00,121360.0000000,121670.0000000,121280.0000000,121610.0000000,6953
01/02/19,11:00:00,121500.0000000,121500.0000000,120680.0000000,121130.0000000,42279
01/02/19,12:00:00,121140.0000000,121650.0000000,121060.0000000,121290.0000000,36450
01/02/19,13:00:00,121290.0000000,121640.0000000,121230.0000000,121510.0000000,19210
01/02/19,14:00:00,121510.0000000,121970.0000000,121470.0000000,121960.0000000,26445
01/02/19,15:00:00,121960.0000000,121980.0000000,121640.0000000,121730.0000000,12635
01/02/19,16:00:00,121730.0000000,121840.0000000,121480.0000000,121580.0000000,13970
01/02/19,17:00:00,121580.0000000,121900.0000000,121220.0000000,121620.0000000,34253
01/02/19,18:00:00,121610.0000000,121700.0000000,120940.0000000,121040.0000000,41155
01/02/19,19:00:00,121020.0000000,121270.0000000,120910.0000000,121050.0000000,26451
01/02/19,20:00:00,121190.0000000,121570.0000000,120920.0000000,121570.0000000,23922
01/02/19,21:00:00,121570.0000000,121610.0000000,121410.0000000,121450.0000000,8472
01/02/19,22:00:00,121460.0000000,121890.0000000,121460.0000000,121530.0000000,12935
01/02/19,23:00:00,121530.0000000,121540.0000000,121270.0000000,121290.0000000,8080
02/02/19,00:00:00,121280.0000000,121330.0000000,121220.0000000,121260.0000000,5177
04/02/19,11:00:00,121250.0000000,121720.0000000,121010.0000000,121470.0000000,38665
04/02/19,12:00:00,121470.0000000,121570.0000000,121040.0000000,121300.0000000,27037
04/02/19,13:00:00,121290.0000000,121670.0000000,121240.0000000,121560.0000000,21372
04/02/19,14:00:00,121570.0000000,122100.0000000,121550.0000000,121820.0000000,33133
04/02/19,15:00:00,121830.0000000,121980.0000000,121780.0000000,121910.0000000,13425
04/02/19,16:00:00,121900.0000000,121940.0000000,121580.0000000,121770.0000000,19949
04/02/19,17:00:00,121770.0000000,121790.0000000,121540.0000000,121610.0000000,13382
04/02/19,18:00:00,121610.0000000,121680.0000000,121280.0000000,121480.0000000,25155
04/02/19,19:00:00,121480.0000000,121480.0000000,121100.0000000,121100.0000000,22398
04/02/19,20:00:00,121370.0000000,121620.0000000,121050.0000000,121560.0000000,19636
04/02/19,21:00:00,121560.0000000,121750.0000000,121420.0000000,121480.0000000,11944
04/02/19,22:00:00,121480.0000000,121580.0000000,121410.0000000,121480.0000000,5418
04/02/19,23:00:00,121470.0000000,121560.0000000,121380.0000000,121500.0000000,4604
05/02/19,00:00:00,121500.0000000,121550.0000000,121300.0000000,121300.0000000,4793
05/02/19,11:00:00,121350.0000000,121890.0000000,121340.0000000,121740.0000000,29449
05/02/19,12:00:00,121730.0000000,122250.0000000,121660.0000000,122100.0000000,35909
05/02/19,13:00:00,122100.0000000,122880.0000000,122080.0000000,122650.0000000,48295
05/02/19,14:00:00,122650.0000000,122920.0000000,122610.0000000,122770.0000000,18110
05/02/19,15:00:00,122770.0000000,122910.0000000,122570.0000000,122660.0000000,18498
05/02/19,16:00:00,122660.0000000,122730.0000000,122510.0000000,122530.0000000,14693
05/02/19,17:00:00,122530.0000000,122600.0000000,122230.0000000,122520.0000000,24972
05/02/19,18:00:00,122510.0000000,122650.0000000,122290.0000000,122570.0000000,21927
05/02/19,19:00:00,122570.0000000,122640.0000000,122340.0000000,122520.0000000,19570
05/02/19,20:00:00,122520.0000000,122790.0000000,122320.0000000,122760.0000000,18032
05/02/19,21:00:00,122760.0000000,123170.0000000,122690.0000000,122740.0000000,20049
05/02/19,22:00:00,122760.0000000,122850.0000000,122560.0000000,122750.0000000,11378
05/02/19,23:00:00,122750.0000000,122900.0000000,122660.0000000,122670.0000000,6767
06/02/19,00:00:00,122660.0000000,122780.0000000,122590.0000000,122630.0000000,5940
06/02/19,11:00:00,122630.0000000,122790.0000000,121840.0000000,121870.0000000,43218
